WORD|地用|zh-CN	Word	这个故事**彻头彻尾**地用了你所有的词！	This story has **completely** used all your words!	地用	地用	Verb		"to use, to employ, to apply"	Chat	zh-CN	en	dì&#8239;yòng	zhè gè gù&#8239;shì * * chè&#8239;tóu chè&#8239;wěi * * dì&#8239;yòng le nǐ suǒ&#8239;yǒu de cí ！	89			2026-03-11 11:42	"怎么样？
这个故事**彻头彻尾**地用了你所有的词！
😉 你喜欢吗？"	"How about it?
This story has **completely** used all your words!
😉 Do you like it?"	
WORD|彻尾|zh-CN	Word	这个故事**彻头彻尾**地用了你所有的词！	This story has **completely** used all your words!	彻尾	彻尾	Noun		"thorough, complete, utter"	Chat	zh-CN	en	chè&#8239;wěi	zhè gè gù&#8239;shì * * chè&#8239;tóu chè&#8239;wěi * * dì&#8239;yòng le nǐ suǒ&#8239;yǒu de cí ！	89			2026-03-11 11:42	"怎么样？
这个故事**彻头彻尾**地用了你所有的词！
😉 你喜欢吗？"	"How about it?
This story has **completely** used all your words!
😉 Do you like it?"	
WORD|用场|zh-CN	Word	她知道有些东西没有**用场**。	She knows some things have no **purpose**.	用场	用场	Noun		"use, purpose, application"	Chat	zh-CN	en	yòng&#8239;chǎng	tā zhī&#8239;dào yǒu&#8239;xiē dōng&#8239;xī méi&#8239;yǒu * * yòng&#8239;chǎng * * 。	83			2026-03-11 11:41	"她知道有些东西是**鸡肋**。
她知道有些东西没有**用场**。
她知道她妈妈的照片是真正重要的。"	"She knows some things are **useless**.
She knows some things have no **purpose**.
She knows her mother's photo is what truly matters."	
WORD|银子|zh-CN	Word	他们的旧东西，他们的**银子**，他们的回忆，都没有了。	"Their old belongings, their **money**, their memories, are all gone."	银子	银子	Noun		"silver, money, tael"	Chat	zh-CN	en	yín&#8239;zi	tā&#8239;men de jiù dōng&#8239;xī ， tā&#8239;men de * * yín&#8239;zi * * ， tā&#8239;men de huí&#8239;yì ， dōu méi&#8239;yǒu le 。	80			2026-03-11 11:41	"他们觉得所有的东西都**淘汰**了。
他们的旧东西，他们的**银子**，他们的回忆，都没有了。
但艾米丽不伤心。"	"They felt everything was **eliminated**.
Their old belongings, their **money**, their memories, are all gone.
But Emily is not sad."	
WORD|子|zh-CN	Word	有一天，她找到了一个旧盒子。	"One day, she found an old box."	子	子	Part		"child, son, seed"	Chat	zh-CN	en	zi	yǒu yī tiān ， tā zhǎo&#8239;dào le yī gè jiù hé zi 。	59			2026-03-11 11:40	"她把过时的鞋子扔掉。
有一天，她找到了一个旧盒子。
里面有一些旧照片。"	"She threw away outdated shoes.
One day, she found an old box.
Inside were some old photos."	
WORD|扔掉|zh-CN	Word	她想把它们都扔掉。	She wants to throw them all away.	扔掉	扔掉	Verb		"throw away, discard, get rid of"	Chat	zh-CN	en	rēng&#8239;diào	tā xiǎng bǎ tā&#8239;men dōu rēng&#8239;diào 。	55			2026-03-11 11:40	"她觉得这些东西都是**累赘**。
她想把它们都扔掉。
她开始把所有不需要的东西都扔掉。"	"She feels that all these things are **burdensome**.
She wants to throw them all away.
She started throwing away everything she didn't need."	
WORD|都是|zh-CN	Word	他们的衣柜也都是衣服，真是**衣满为患**！	"Their closets are also full of clothes, it's really **overcrowded**!"	都是	都是	Aux		"are, all, both"	Chat	zh-CN	en	dōu&#8239;shì	tā&#8239;men de yī&#8239;guì yě dōu&#8239;shì yī&#8239;fú ， zhēn&#8239;shì * * yī&#8239;mǎn wèi huàn * * ！	50			2026-03-11 11:40	"他们的公寓里都是东西。
他们的衣柜也都是衣服，真是**衣满为患**！
但是，有一个叫艾米丽的年轻女孩住在这里。"	"Their apartments are filled with stuff.
Their closets are also full of clothes, it's really **overcrowded**!
However, there is a young girl named Emily living here."	
WORD|衣柜|zh-CN	Word	他们的衣柜也都是衣服，真是**衣满为患**！	"Their closets are also full of clothes, it's really **overcrowded**!"	衣柜	衣柜	Noun		"wardrobe, closet, cabinet"	Chat	zh-CN	en	yī&#8239;guì	tā&#8239;men de yī&#8239;guì yě dōu&#8239;shì yī&#8239;fú ， zhēn&#8239;shì * * yī&#8239;mǎn wèi huàn * * ！	50			2026-03-11 11:40	"他们的公寓里都是东西。
他们的衣柜也都是衣服，真是**衣满为患**！
但是，有一个叫艾米丽的年轻女孩住在这里。"	"Their apartments are filled with stuff.
Their closets are also full of clothes, it's really **overcrowded**!
However, there is a young girl named Emily living here."	
WORD|生词|zh-CN	Word	请给我小故事用我的生词	Please give me a short story using my new vocabulary.	生词	生词	Noun		"vocabulary, new word, unfamiliar word"	Chat	zh-CN	en	shēng&#8239;cí	qǐng gěi wǒ xiǎo gù&#8239;shì yòng wǒ de shēng&#8239;cí	39			2026-03-11 07:29	"太容易。
请给我小故事用我的生词
哈哈哈！"	"Too easy.
Please give me a short story using my new vocabulary.
Hahaha!"	
WORD|频繁|zh-CN	Word	诸葛亮，你不必如此频繁地提醒我。	"Zhuge Liang, you don't have to remind me so often."	频繁	频繁	Adj		"frequent, often, frequently"	Chat	zh-CN	en	pín&#8239;fán	zhū&#8239;gě liàng ， nǐ bù bì&#8239;rú cǐ pín&#8239;fán dì tí&#8239;xǐng wǒ 。	2			2026-03-09 07:37	"通过校际交流，张骞促成了往来。
诸葛亮，你不必如此频繁地提醒我。
王羲之的这幅书法很有美感。"	"Through inter-school exchanges, Zhang Qian facilitated communication.
Zhuge Liang, you don't have to remind me so often.
Wang Xizhi's calligraphy has a great aesthetic appeal."	
